Date,Yearly,Total
2017-01-01,236,11945
2016-01-01,456,11709
2015-01-01,436,11253
2014-01-01,553,10817
2013-01-01,507,10264
2012-01-01,537,9757
2011-01-01,524,9220
2010-01-01,521,8696
2009-01-01,568,8175
2008-01-01,653,7607
2007-01-01,965,6954
2006-01-01,861,5989
2005-01-01,874,5128
2004-01-01,729,4254
2003-01-01,531,3525
2002-01-01,441,2994
2001-01-01,414,2553
2000-01-01,371,2139
1999-01-01,390,1768
1998-01-01,331,1378
1997-01-01,329,1047
1996-01-01,188,718
1995-01-01,190,530
1994-01-01,222,340
1993-01-01,74,118
1992-01-01,11,44
1991-01-01,23,33
1990-01-01,7,10
1989-01-01,2,3
1988-01-01,0,1
1987-01-01,0,1
1986-01-01,1,1
1985-01-01,0,0
1984-01-01,0,0
1983-01-01,0,0
1982-01-01,0,0
1981-01-01,0,0
1980-01-01,0,0
1979-01-01,0,0
1978-01-01,0,0
1977-01-01,0,0
1976-01-01,0,0
