Date,Total
1986-09-01,3939
1986-11-01,4160
1987-04-01,4387
1987-09-01,5205
1988-01-01,6102
1988-04-01,6821
1988-08-01,7724
1988-11-01,8702
1989-03-01,10008
1989-07-01,10856
1989-10-01,12305
1990-01-01,13837
1990-04-01,15409
1990-08-01,16941
1990-11-01,18364
1991-02-01,20024
1991-05-01,20772
1991-08-01,21795
1991-11-01,22654
1992-03-01,23742
1992-05-01,25044
1992-08-01,26706
1992-12-01,28154
1993-04-01,29955
1993-07-01,31808
1993-10-01,33329
1994-02-01,36000
1994-06-01,38303
1994-10-01,40292
1995-02-01,43470
1995-11-01,49340
1996-02-01,52205
1996-10-01,59021
1997-11-01,69113
1998-07-01,74019
1998-12-01,77977
1999-07-01,80000
2000-05-01,86593
2001-10-01,101602
2003-02-01,122564
2003-10-01,135850
2004-03-01,146720
2004-07-01,153871
2004-10-01,163235
2005-02-01,168297
2005-05-01,181571
2005-09-01,194317
2006-02-01,207132
2006-05-01,222289
2006-10-01,241242
2007-03-01,260167
2007-05-01,269293
2007-07-01,276256
2008-02-01,356194
2008-07-01,392667
2009-03-01,428650
2010-03-01,516081
2010-04-01,516603
2010-05-01,517100
2010-06-01,517802
2010-07-01,518415
2010-08-01,519348
2010-10-01,521016
2010-11-01,523151
2011-01-01,524420
2011-02-01,525207
2011-03-01,525997
2011-04-01,526969
2011-05-01,528048
2011-05-01,529056
2011-06-01,530264
2011-07-01,531473
2011-09-01,532146
2012-01-01,534242
2012-02-01,534695
2012-03-01,535248
2012-04-01,535698
2012-05-01,536029
2012-06-01,536489
2012-07-01,536789
2012-09-01,537505
2012-10-01,538010
2012-10-01,538259
2012-11-01,538585
2013-01-01,538849
2013-02-01,539165
2013-03-01,539616
2013-04-01,539829
2013-05-01,540052
2013-05-01,540261
2013-06-01,540546
2013-07-01,540732
2013-09-01,540958
2013-10-01,541561
2013-11-01,541762
2014-01-01,542258
2014-02-01,542503
2014-03-01,542782
2014-04-01,544996
2014-05-01,545388
2014-06-01,545536
2014-07-01,546000
2014-09-01,546238
2014-10-01,546439
2014-10-01,546790
2014-11-01,547085
2015-02-01,547599
2015-03-01,547964
2015-04-01,548208
2015-04-01,548454
2015-05-01,548586
2015-06-01,548872
2015-07-01,549008
2015-09-01,549215
2015-10-01,549646
2015-11-01,549832
2015-12-01,550116
2016-01-01,550299
2016-02-01,550552
2016-03-01,550740
2016-04-01,550960
2016-05-01,551193
2016-06-01,551385
2016-07-01,551705
2016-09-01,551987
2016-10-01,552259
2016-11-01,553231
2017-01-01,553474
2017-02-01,553655
2017-03-01,553941
2017-04-01,554241
2017-05-01,554515
2017-06-01,554860
2017-07-01,555100
