Date	Total
07/05/17	88032926
06/07/17	87291332
05/10/17	85272789
04/12/17	84827567
03/15/17	80204459
02/15/17	77483538
01/18/17	73711881
11/30/16	71002161
11/02/16	70656157
10/05/16	67940995
09/07/16	66905753
07/06/16	65378749
06/08/16	64028668
05/11/16	62148086
04/13/16	63686057
03/16/16	63039659
02/17/16	60971489
01/20/16	59718159
12/09/15	55270679
11/11/15	54540801
10/14/15	52783601
09/16/15	50825784
07/22/15	50011027
06/24/15	49401998
05/27/15	48744721
04/29/15	47452313
04/01/15	46714516
03/04/15	92124243
02/04/15	90860905
11/26/14	88589455
10/29/14	86536393
10/01/14	83955074
09/03/14	82126897
07/09/14	79824243
06/11/14	69014937
05/14/14	56010222
04/16/14	54958551
03/19/14	54247468
02/19/14	52707211
01/22/14	51616950
11/13/13	48180424
10/16/13	44746523
09/18/13	42821879
07/24/13	41451118
06/26/13	39870577
05/29/13	35502518
05/01/13	33995348
04/03/13	33106277
03/06/13	32153798
02/06/13	29769971
01/09/13	29266939
11/28/12	28395832
10/31/12	27122814
10/03/12	26079526
09/05/12	23994583
07/11/12	23165610
06/13/12	22660469
05/16/12	22128511
04/18/12	21552793
03/21/12	20639311
02/22/12	20127441
01/25/12	19434245
09/21/11	16886838
07/27/11	16504022
06/28/11	16014672
05/31/11	15400876
05/03/11	15062837
04/05/11	14555721
03/08/11	13897064
02/08/11	13499622
01/11/11	13069501
11/30/10	12769092
10/05/10	12098541
08/10/10	11636205
07/13/10	11397958
06/15/10	11109684
04/20/10	10706472
07/01/04	1333917
03/01/04	1069649
10/01/03	1117376
06/01/03	1043240
03/01/03	921952
10/01/02	821014
06/01/02	751148
03/01/02	700753
12/01/01	636825
10/01/01	558150
06/01/01	540195
03/01/01	489620
10/01/00	431424
06/01/00	351834
05/01/00	353156
11/01/99	276472
08/01/99	245761
05/01/99	244862
01/01/99	221422
11/01/98	224543
08/01/98	193860
06/01/98	177757
01/01/98	166361
07/01/97	139208
05/01/97	126995
02/01/97	116379
11/01/96	104955
#To address this, we introduced TrEMBL (translation of EMBL nucleotide sequence database) in 1996	
#UniProt release 1.0 - December 15, 2003	
