Date	number of entries		Date	Number of entries swissProt
07/05/17	88032926		09/86	3939
06/07/17	87291332		11/86	4160
05/10/17	85272789		04/87	4387
04/12/17	84827567		09/87	5205
03/15/17	80204459		01/88	6102
02/15/17	77483538		04/88	6821
01/18/17	73711881		08/88	7724
11/30/16	71002161		11/88	8702
11/02/16	70656157		03/89	10008
10/05/16	67940995		07/89	10856
09/07/16	66905753		10/89	12305
07/06/16	65378749		01/90	13837
06/08/16	64028668		04/90	15409
05/11/16	62148086		08/90	16941
04/13/16	63686057		11/90	18364
03/16/16	63039659		02/91	20024
02/17/16	60971489		05/91	20772
01/20/16	59718159		08/91	21795
12/09/15	55270679		11/91	22654
11/11/15	54540801		03/92	23742
10/14/15	52783601		05/92	25044
09/16/15	50825784		08/92	26706
07/22/15	50011027		12/92	28154
06/24/15	49401998		04/93	29955
05/27/15	48744721		07/93	31808
04/29/15	47452313		10/93	33329
04/01/15	46714516		02/94	36000
03/04/15	92124243		06/94	38303
02/04/15	90860905		10/94	40292
11/26/14	88589455		02/95	43470
10/29/14	86536393		11/95	49340
10/01/14	83955074		02/96	52205
09/03/14	82126897		10/96	59021
07/09/14	79824243		11/97	69113
06/11/14	69014937		07/98	74019
05/14/14	56010222		12/98	77977
04/16/14	54958551		07/99	80000
03/19/14	54247468		05/00	86593
02/19/14	52707211		10/01	101602
01/22/14	51616950		02/03	122564
11/13/13	48180424		10/03	135850
10/16/13	44746523		03/04	146720
09/18/13	42821879		07/04	153871
07/24/13	41451118		10/04	163235
06/26/13	39870577		02/05	168297
05/29/13	35502518		05/05	181571
05/01/13	33995348		09/05	194317
04/03/13	33106277		02/06	207132
03/06/13	32153798		05/06	222289
02/06/13	29769971		10/06	241242
01/09/13	29266939		03/07	260167
11/28/12	28395832		05/07	269293
10/31/12	27122814		07/07	276256
10/03/12	26079526		02/08	356194
09/05/12	23994583		07/08	392667
07/11/12	23165610		03/09	428650
06/13/12	22660469			
05/16/12	22128511			
04/18/12	21552793			
03/21/12	20639311			
02/22/12	20127441			
01/25/12	19434245			
09/21/11	16886838			
07/27/11	16504022			
06/28/11	16014672			
05/31/11	15400876			
05/03/11	15062837			
04/05/11	14555721			
03/08/11	13897064			
02/08/11	13499622			
01/11/11	13069501			
11/30/10	12769092			
10/05/10	12098541			
08/10/10	11636205			
07/13/10	11397958			
06/15/10	11109684			
04/20/10	10706472			
				
				
				
				
07/01/04	1333917			
03/01/04	1069649			
10/01/03	1117376			
06/01/03	1043240			
03/01/03	921952			
10/01/02	821014			
06/01/02	751148			
03/01/02	700753			
12/01/01	636825			
10/01/01	558150			
06/01/01	540195			
03/01/01	489620			
10/01/00	431424			
06/01/00	351834			
05/01/00	353156			
11/01/99	276472			
08/01/99	245761			
05/01/99	244862			
01/01/99	221422			
11/01/98	224543			
08/01/98	193860			
06/01/98	177757			
01/01/98	166361			
07/01/97	139208			
05/01/97	126995			
02/01/97	116379			
11/01/96	104955			
				
				
				
#To address this, we introduced TrEMBL (translation of EMBL nucleotide sequence database) in 1996				
#UniProt release 1.0 - December 15, 2003				
